Asset Type,Asset Name,Description,Usage,Priority,Status,Size,Style,Color Palette,Animation,Reference
Enemy Battler,SF_Doll,Basic security drone,Used for security force enemies,High,Needed,64x64 pixels,16-bit pixel art with cyberpunk aesthetic,Metallic grays with blue/red accents,Idle hover + attack animation,Reference: Security drones from sci-fi media with corporate branding
Enemy Battler,SF_Parasite,Parasitic security entity,Used for security force enemies,Medium,Needed,64x64 pixels,16-bit pixel art with organic-mechanical hybrid design,Flesh tones with metallic implants and red warning lights,Pulsing idle + lunge attack animation,Reference: Parasitic organisms with technological components
Enemy Battler,SF_Thug,Security enforcer,Used for security force enemies,Medium,Needed,64x64 pixels,16-bit pixel art with intimidating presence,Dark armor with corporate insignia and glowing elements,Menacing idle + weapon swing animation,Reference: Riot police mixed with corporate branding
Enemy Battler,punk1,Basic punk enemy,Used for punk enemies,High,Needed,64x64 pixels,16-bit pixel art with gritty details,Neon colors against dark clothing,Idle stance + attack animation,Reference: 80s/90s punk aesthetic with cyberpunk elements
Enemy Battler,punk2,Punk variant,Used for punk enemies,High,Needed,64x64 pixels,16-bit pixel art with punk aesthetic (variant 2),Blue mohawk with leather jacket and chains,Idle stance + melee attack animation,Reference: Punk rocker with cyberpunk modifications
Enemy Battler,punk3,Punk variant,Used for punk enemies,High,Needed,64x64 pixels,16-bit pixel art with punk aesthetic (variant 3),Green spikes with torn clothing and tech implants,Idle stance + ranged attack animation,Reference: Tech-enhanced punk with improvised weapons
Enemy Battler,punk4,Punk variant,Used for punk enemies,High,Needed
Enemy Battler,punk5,Punk variant,Used for punk enemies,High,Needed
Enemy Battler,punk6,Punk variant,Used for punk enemies,High,Needed
Enemy Battler,punkBoss1,Punk leader/boss,Used for punk boss battle,High,Needed,96x96 pixels,16-bit pixel art with imposing punk leader design,Multicolored mohawk with spiked armor and tech enhancements,Intimidating idle + multiple attack animations,Reference: Exaggerated punk gang leader with cybernetic augmentations
Enemy Battler,greenninja,Green-clad ninja,Used for ninja enemies,High,Needed,64x64 pixels,16-bit pixel art with sleek design,Green/black with subtle neon highlights,Stealthy idle + quick attack animation,Reference: Classic ninja design with futuristic tech elements
Enemy Battler,pinkninja,Pink-clad ninja,Used for ninja enemies,High,Needed,64x64 pixels,16-bit pixel art with sleek ninja design,Pink/black with neon pink highlights,Stealthy idle + quick attack animation,Reference: Agile ninja with bright pink tech-enhanced outfit
Enemy Battler,brownninja,Brown-clad ninja,Used for ninja enemies,High,Needed
Enemy Battler,blueninja,Blue-clad ninja,Used for ninja enemies,High,Needed
Enemy Battler,redninja,Red-clad ninja,Used for ninja enemies,High,Needed
Enemy Battler,purpleninja,Purple-clad ninja,Used for ninja enemies,High,Needed
Enemy Battler,blackninja,Black-clad ninja,Used for ninja enemies,High,Needed
Enemy Battler,bat260403995,Mutant bat,Used for mutant enemies,Medium,Needed,64x64 pixels,16-bit pixel art with grotesque details,Dark purple/black with toxic green highlights,Flapping wings + dive attack animation,Reference: Mutated cave bat with unnatural features
Enemy Battler,plant-default_orig,Basic mutant plant,Used for mutant enemies,Medium,Needed,64x64 pixels,16-bit pixel art with mutated plant features,Green with toxic highlights and unnatural growths,Swaying idle + vine attack animation,Reference: Mutated carnivorous plant with alien features
Enemy Battler,plant-green_orig,Green mutant plant,Used for mutant enemies,Medium,Needed
Enemy Battler,plant-red_orig,Red flowering plant,Used for mutant enemies,Medium,Needed
Enemy Battler,plant-white_orig,White winter plant,Used for mutant enemies,Medium,Needed
Enemy Battler,plant-wilted_orig,Wilted plant,Used for mutant enemies,Medium,Needed
Enemy Battler,rat657494608,Mutant rat,Used for mutant enemies,Medium,Needed
Enemy Battler,rat410648364_orig,Mouse,Used for mutant enemies,Medium,Needed
Enemy Battler,rat648556256,Sewer rat,Used for mutant enemies,Medium,Needed
Enemy Battler,rat8615651156,Field mouse,Used for mutant enemies,Medium,Needed
Enemy Battler,rat960466383,Lab rat,Used for mutant enemies,Medium,Needed
Enemy Battler,mod_mimic_03,Trash Octopus/Octonasty,Used for mutant enemies,Medium,Needed,64x64 pixels,16-bit pixel art with trash/octopus hybrid design,Garbage colors with slimy tentacles and junk parts,Undulating idle + tentacle attack animation,Reference: Octopus made of/living in garbage and waste
Enemy Battler,Slime518641091,Blue Slime,Used for slime enemies,Medium,Needed,64x64 pixels,16-bit pixel art with gelatinous appearance,Translucent blue with darker core,Bouncing idle + stretch attack animation,Reference: Classic blue slime with modern tech elements
Enemy Battler,Slime630683762,Red Slime,Used for slime enemies,Medium,Needed
Enemy Battler,Slime767690166,Tar,Used for slime enemies,Medium,Needed
Enemy Battler,Slime966520927,Purple Slime,Used for slime enemies,Medium,Needed
Enemy Battler,Slime112319373,White Goo,Used for slime enemies,Medium,Needed
Enemy Battler,Alien210143_orig,Basic alien,Used for alien enemies,Medium,Needed,64x64 pixels,16-bit pixel art with alien anatomy,Gray/green with large eyes and unusual limbs,Floating idle + psychic attack animation,Reference: Classic gray alien with unique features
Enemy Battler,Alien357178_orig,Blue alien,Used for alien enemies,Medium,Needed
Enemy Battler,Alien7137221_orig,Young alien,Used for alien enemies,Medium,Needed
Enemy Battler,cockatrice115023772,Basic cockatrice,Used for cockatrice enemies,Medium,Needed
Enemy Battler,cockatrice155586115,Yellow cockatrice,Used for cockatrice enemies,Medium,Needed
Enemy Battler,cockatrice259886913,White cockatrice,Used for cockatrice enemies,Medium,Needed
Enemy Battler,cockatrice446945148,Black cockatrice,Used for cockatrice enemies,Medium,Needed
Enemy Battler,cockatrice756463860,Blue cockatrice,Used for cockatrice enemies,Medium,Needed
Enemy Battler,Drone108499806,Basic drone,Used for drone enemies,Medium,Needed
Enemy Battler,Drone285035104,Military drone,Used for drone enemies,Medium,Needed
Enemy Battler,Drone544904500,Stealth drone,Used for drone enemies,Medium,Needed
Enemy Battler,Drone579342351,Fancy drone,Used for drone enemies,Medium,Needed
Enemy Battler,Drone924648649,Armored drone,Used for drone enemies,Medium,Needed
Enemy Battler,wolf-grey-sv_orig,Grey wolf,Used for wolf enemies,Medium,Needed
Enemy Battler,wolf-black-sv_orig,Black wolf,Used for wolf enemies,Medium,Needed
Enemy Battler,wolf-brown-sv_orig,Brown wolf,Used for wolf enemies,Medium,Needed
Enemy Battler,wolf-red-sv_orig,Red wolf,Used for wolf enemies,Medium,Needed
Enemy Battler,wolf-tawny-sv_orig,Tawny wolf,Used for wolf enemies,Medium,Needed
Enemy Battler,wolf-white-sv_orig,White wolf,Used for wolf enemies,Medium,Needed
Enemy Battler,snake-hornless_orig,Basic snake,Used for snake enemies,Medium,Needed
Enemy Battler,snake-black-red_orig,Black snake with red markings,Used for snake enemies,Medium,Needed
Enemy Battler,snake-black-white_orig,Black snake with white markings,Used for snake enemies,Medium,Needed
Enemy Battler,snake-green_orig,Garden snake,Used for snake enemies,Medium,Needed
Enemy Battler,snake-orange-yellow_orig,Coral snake,Used for snake enemies,Medium,Needed
Enemy Battler,ogre-default_orig,Basic ogre,Used for ogre enemies,Medium,Needed
Enemy Battler,ogre-black_orig,Black ogre,Used for ogre enemies,Medium,Needed
Enemy Battler,ogre-gold_orig,Gold ogre,Used for ogre enemies,Medium,Needed
Enemy Battler,ogre-green_orig,Green ogre,Used for ogre enemies,Medium,Needed
Enemy Battler,ogre-red_orig,Red ogre,Used for ogre enemies,Medium,Needed
Enemy Battler,Rooster149380371,Orange/Yellow rooster,Used for rooster enemies,Low,Needed
Enemy Battler,Rooster363225764_orig,Black rooster,Used for rooster enemies,Low,Needed
Enemy Battler,Rooster447517918_orig,White rooster,Used for rooster enemies,Low,Needed
